Date,USD
2019-01-01,384.2
2019-01-02,384.2
2019-01-03,384.2
2019-01-04,381.38
2019-01-05,378.12
2019-01-06,378.12
2019-01-07,378.12
2019-01-08,378.12
2019-01-09,373.66
2019-01-10,374.82
2019-01-11,374.63
2019-01-12,376.06
2019-01-13,376.06
2019-01-14,376.06
2019-01-15,378.29
2019-01-16,377.85
2019-01-17,377.95
2019-01-18,376.6
2019-01-19,378.66
2019-01-20,378.66
2019-01-21,378.66
2019-01-22,378.78
2019-01-23,378.14
2019-01-24,378.54
2019-01-25,377.73
2019-01-26,377.46
2019-01-27,377.46
2019-01-28,377.46
2019-01-29,378.6
2019-01-30,380.66
2019-01-31,380.51
2019-02-01,380.06
2019-02-02,382.74
2019-02-03,382.74
2019-02-04,382.74
2019-02-05,382.23
2019-02-06,379.63
2019-02-07,376.59
2019-02-08,377.97
2019-02-09,378.73
2019-02-10,378.73
2019-02-11,378.73
2019-02-12,375.53
2019-02-13,374.81
2019-02-14,373.56
2019-02-15,376.37
2019-02-16,377.62
2019-02-17,377.62
2019-02-18,377.62
2019-02-19,376.26
2019-02-20,376.3
2019-02-21,376.09
2019-02-22,375.95
2019-02-23,376.73
2019-02-24,376.73
2019-02-25,376.73
2019-02-26,376.17
2019-02-27,378.04
2019-02-28,377.26
2019-03-01,374.96
2019-03-02,375.9
2019-03-03,375.9
2019-03-04,375.9
2019-03-05,376.65
2019-03-06,377.37
2019-03-07,377.95
2019-03-08,379.42
2019-03-09,379.42
2019-03-10,379.42
2019-03-11,379.42
2019-03-12,379.48
2019-03-13,377.99
2019-03-14,377.74
2019-03-15,377.36
2019-03-16,378.51
2019-03-17,378.51
2019-03-18,378.51
2019-03-19,375.9
2019-03-20,376.4
2019-03-21,378.17
2019-03-22,378.17
2019-03-23,378.17
2019-03-24,378.17
2019-03-25,378.17
2019-03-26,378.17
2019-03-27,377.65
2019-03-28,378.36
2019-03-29,380.06
2019-03-30,380.04
2019-03-31,380.04
2019-04-01,380.04
2019-04-02,379.95
2019-04-03,379.66
2019-04-04,379.16
2019-04-05,378.29
2019-04-06,379.84
2019-04-07,379.84
2019-04-08,379.84
2019-04-09,380.55
2019-04-10,379.77
2019-04-11,379.33
2019-04-12,377.96
2019-04-13,379.59
2019-04-14,379.59
2019-04-15,379.59
2019-04-16,379.56
2019-04-17,379.96
2019-04-18,379.36
2019-04-19,379.19
2019-04-20,379.29
2019-04-21,379.29
2019-04-22,379.29
2019-04-23,377.11
2019-04-24,377.33
2019-04-25,378.56
2019-04-26,379.86
2019-04-27,380.89
2019-04-28,380.89
2019-04-29,380.89
2019-04-30,381.94
2019-05-01,381.08
2019-05-02,381.08
2019-05-03,380.89
2019-05-04,381.97
2019-05-05,380.5
2019-05-06,380.5
2019-05-07,380.58
2019-05-08,380.58
2019-05-09,380.53
2019-05-10,380.53
2019-05-11,380.53
2019-05-12,380.53
2019-05-13,380.53
2019-05-14,379.43
2019-05-15,379.7
2019-05-16,379.65
2019-05-17,378.94
2019-05-18,378.93
2019-05-19,378.93
2019-05-20,378.93
2019-05-21,378.9
2019-05-22,378.87
2019-05-23,379.01
2019-05-24,378.01
2019-05-25,379.36
2019-05-26,379.36
2019-05-27,379.36
2019-05-28,379.86
2019-05-29,380.3
2019-05-30,381.69
2019-05-31,381.37
2019-06-01,382.56
2019-06-02,382.56
2019-06-03,382.56
2019-06-04,383.94
2019-06-05,384.21
2019-06-06,384.2
2019-06-07,384.53
2019-06-08,383.34
2019-06-09,383.34
2019-06-10,383.34
2019-06-11,383.04
2019-06-12,383.75
2019-06-13,384.13
2019-06-14,384.51
2019-06-15,384.05
2019-06-16,384.05
2019-06-17,384.05
2019-06-18,383.43
2019-06-19,383.69
2019-06-20,382.38
2019-06-21,380.56
2019-06-22,377.18
2019-06-23,377.18
2019-06-24,377.18
2019-06-25,378.38
2019-06-26,378.83
2019-06-27,378.65
2019-06-28,379.85
2019-06-29,380.53
2019-06-30,380.53
2019-07-01,380.53
2019-07-02,380.67
2019-07-03,381.95
2019-07-04,383.99
2019-07-05,383.04
2019-07-06,383.53
2019-07-07,383.53
2019-07-08,383.53
2019-07-09,383.53
2019-07-10,384.23
2019-07-11,384.36
2019-07-12,383.1
2019-07-13,383.29
2019-07-14,383.29
2019-07-15,383.29
2019-07-16,383.43
2019-07-17,383.01
2019-07-18,383.98
2019-07-19,384.39
2019-07-20,384.87
2019-07-21,384.87
2019-07-22,384.87
2019-07-23,384.52
2019-07-24,384.06
2019-07-25,384.2
2019-07-26,384.8
2019-07-27,384.92
2019-07-28,384.92
2019-07-29,384.92
2019-07-30,385.1
2019-07-31,384.56
2019-08-01,384.2
2019-08-02,384.99
2019-08-03,385.76
2019-08-04,385.76
2019-08-05,385.76
2019-08-06,386.47
2019-08-07,386.94
2019-08-08,387.45
2019-08-09,387.73
2019-08-10,387.47
2019-08-11,387.47
2019-08-12,387.47
2019-08-13,387.43
2019-08-14,387.49
2019-08-15,386.16
2019-08-16,387.05
2019-08-17,386.82
2019-08-18,386.82
2019-08-19,386.82
2019-08-20,386.8
2019-08-21,386.91
2019-08-22,386.05
2019-08-23,386.04
2019-08-24,386.34
2019-08-25,386.34
2019-08-26,386.34
2019-08-27,386.91
2019-08-28,387.5
2019-08-29,387.55
2019-08-30,387.46
2019-08-31,387.46
2019-09-01,387.46
2019-09-02,387.46
2019-09-03,388.07
2019-09-04,388.28
2019-09-05,388.18
2019-09-06,387.73
2019-09-07,387.82
2019-09-08,387.82
2019-09-09,387.82
2019-09-10,386.51
2019-09-11,385.89
2019-09-12,386.34
2019-09-13,387.15
2019-09-14,386.71
2019-09-15,386.71
2019-09-16,386.71
2019-09-17,385.16
2019-09-18,385.42
2019-09-19,386.77
2019-09-20,387.34
2019-09-21,386.7
2019-09-22,386.7
2019-09-23,386.7
2019-09-24,385.96
2019-09-25,386.44
2019-09-26,387.62
2019-09-27,387.53
2019-09-28,387.63
2019-09-29,387.63
2019-09-30,387.63
2019-10-01,387.99
2019-10-02,388.47
2019-10-03,388.87
2019-10-04,389.23
2019-10-05,388.89
2019-10-06,388.89
2019-10-07,388.89
2019-10-08,389
2019-10-09,389.38
2019-10-10,390.09
2019-10-11,390.13
2019-10-12,389.52
2019-10-13,389.52
2019-10-14,389.52
2019-10-15,389.62
2019-10-16,389.59
2019-10-17,389.81
2019-10-18,389.94
2019-10-19,389.98
2019-10-20,389.98
2019-10-21,389.98
2019-10-22,389.86
2019-10-23,389.75
2019-10-24,388.96
2019-10-25,388.93
2019-10-26,388.92
2019-10-27,388.92
2019-10-28,388.92
2019-10-29,387.98
2019-10-30,387.92
2019-10-31,388.54
2019-11-01,388.67
2019-11-02,389.46
2019-11-03,389.46
2019-11-04,389.46
2019-11-05,388.19
2019-11-06,388.39
2019-11-07,388.86
2019-11-08,389.04
2019-11-09,388.29
2019-11-10,388.29
2019-11-11,388.29
2019-11-12,388.7
2019-11-13,388.81
2019-11-14,389.34
2019-11-15,388.49
2019-11-16,388.07
2019-11-17,388.07
2019-11-18,388.07
2019-11-19,387.14
2019-11-20,387.16
2019-11-21,387.37
2019-11-22,386.44
2019-11-23,385.01
2019-11-24,385.01
2019-11-25,385.01
2019-11-26,386.21
2019-11-27,386.49
2019-11-28,386.19
2019-11-29,386.31
2019-11-30,386.35
2019-12-01,386.35
2019-12-02,386.35
2019-12-03,386.35
2019-12-04,387.07
2019-12-05,387.48
2019-12-06,385.76
2019-12-07,384.97
2019-12-08,384.97
2019-12-09,384.97
2019-12-10,385.55
2019-12-11,386.19
2019-12-12,386.3
2019-12-13,384.63
2019-12-14,383.95
2019-12-15,383.95
2019-12-16,383.95
2019-12-17,383.95
2019-12-18,383.95
2019-12-19,384.4
2019-12-20,384.46
2019-12-21,382.99
2019-12-22,382.99
2019-12-23,382.99
2019-12-24,382.65
2019-12-25,381.56
2019-12-26,378.6
2019-12-27,378.79
2019-12-28,380.44
2019-12-29,380.44
2019-12-30,380.44
2019-12-31,381.18
2020-01-01,382.59
2020-01-02,382.59
2020-01-03,382.59
2020-01-04,382.59
2020-01-05,382.59
2020-01-06,382.14
2020-01-07,381.2
2020-01-08,381.2
2020-01-09,378.21
2020-01-10,376.5
2020-01-11,377.46
2020-01-12,377.46
2020-01-13,377.46
2020-01-14,378.06
2020-01-15,379.34
2020-01-16,379.7
2020-01-17,377.75
2020-01-18,376.51
2020-01-19,376.51
2020-01-20,376.51
2020-01-21,375.91
2020-01-22,376.42
2020-01-23,377.29
2020-01-24,377.86
2020-01-25,378.6
2020-01-26,378.6
2020-01-27,378.6
2020-01-28,380.19
2020-01-29,380.84
2020-01-30,378.86
2020-01-31,378.8
2020-02-01,379.02
2020-02-02,379.02
2020-02-03,379.02
2020-02-04,380.65
2020-02-05,379.53
2020-02-06,378.49
2020-02-07,377.56
2020-02-08,378.31
2020-02-09,378.31
2020-02-10,378.31
2020-02-11,379.04
2020-02-12,378.19
2020-02-13,376.2
2020-02-14,376.4
2020-02-15,377.19
2020-02-16,377.19
2020-02-17,377.19
2020-02-18,376.77
2020-02-19,376.84
2020-02-20,377.09
2020-02-21,376.16
2020-02-22,375.87
2020-02-23,375.87
2020-02-24,375.87
2020-02-25,376.43
2020-02-26,376.72
2020-02-27,378.36
2020-02-28,379.75
2020-02-29,381.1
2020-03-01,381.1
2020-03-02,381.1
2020-03-03,381.23
2020-03-04,380.26
2020-03-05,379.45
2020-03-06,380.53
2020-03-07,382.05
2020-03-08,382.05
2020-03-09,382.05
2020-03-10,382.05
